investment_id,customer_id,advisor_id,fund_name,fund_type,investment_amount,current_value,inception_date,last_valuation_date,return_ytd_pct,return_1yr_pct,risk_rating,region
INV-00014,CUS-0056,ADV-0028,Manulife Sustainable Asia,Equity,4134898,3631147,2019-08-15,2026-04-26,-3.79,-12.18,4,Asia Pacific
INV-00015,CUS-0192,ADV-0017,Manulife Japan TOPIX Index,Equity,7625582,8283872,2023-04-03,2026-05-01,7.94,8.63,4,Japan
INV-00016,CUS-0171,ADV-0022,Manulife Global Equity,Equity,22994594,20989033,2025-12-03,2026-04-03,-8.24,-8.72,4,Global
INV-00017,CUS-0155,ADV-0008,Manulife Balanced Yen,Mixed,26696184,31010560,2021-10-18,2026-04-13,6.79,16.16,3,Japan
INV-00018,CUS-0162,ADV-0022,Manulife Global Equity,Equity,22107880,24823065,2020-10-18,2026-04-26,11.01,12.28,4,Global
INV-00019,CUS-0014,ADV-0004,Manulife Sustainable Asia,Equity,29969648,37200388,2020-11-13,2026-04-19,9.27,24.13,4,Asia Pacific
INV-00020,CUS-0068,ADV-0015,Manulife Sustainable Asia,Equity,1862081,1507296,2023-09-20,2026-04-24,-9.3,-19.05,4,Asia Pacific
INV-00021,CUS-0008,ADV-0018,Manulife Japan Government Bond,Fixed Income,29036103,33718399,2023-07-11,2026-04-12,13.46,16.13,1,Japan
INV-00022,CUS-0177,ADV-0015,Manulife Global Bond,Fixed Income,10591924,11419519,2019-08-11,2026-04-09,7.68,7.81,2,Global
INV-00023,CUS-0070,ADV-0008,Manulife Sustainable Asia,Equity,5122085,5452105,2018-12-05,2026-04-15,2.68,6.44,4,Asia Pacific
INV-00024,CUS-0085,ADV-0011,Manulife US Tech Innovation,Equity,7735297,7997457,2018-08-29,2026-04-06,1.78,3.39,5,North America
INV-00025,CUS-0140,ADV-0024,Manulife Global Bond,Fixed Income,7818393,9581266,2019-12-10,2026-04-22,17.99,22.55,2,Global
INV-00026,CUS-0018,ADV-0025,Manulife Yen Money Market,Money Market,24626890,23977700,2023-08-30,2026-04-28,-2.11,-2.64,1,Japan
INV-00027,CUS-0105,ADV-0013,Manulife Global Bond,Fixed Income,17329480,19930496,2021-03-23,2026-04-07,11.69,15.01,2,Global
INV-00028,CUS-0191,ADV-0008,Manulife Japan Government Bond,Fixed Income,4621229,5211358,2018-12-20,2026-04-20,5.91,12.77,1,Japan
INV-00029,CUS-0058,ADV-0007,Manulife US Tech Innovation,Equity,17679722,18256272,2024-03-08,2026-04-30,3.08,3.26,5,North America
INV-00030,CUS-0112,ADV-0021,Manulife Japan TOPIX Index,Equity,9465571,8616565,2022-05-31,2026-04-21,-5.72,-8.97,4,Japan
INV-00031,CUS-0121,ADV-0009,Manulife Japan Growth,Equity,7791035,6851974,2018-10-22,2026-04-26,-7.53,-12.05,5,Japan
INV-00032,CUS-0111,ADV-0029,Manulife Japan Growth,Equity,4436577,3808688,2022-10-30,2026-04-20,-11.63,-14.15,5,Japan
INV-00033,CUS-0120,ADV-0028,Manulife Yen Money Market,Money Market,29425728,34518074,2021-03-30,2026-04-18,13.48,17.31,1,Japan
INV-00034,CUS-0044,ADV-0020,Manulife Japan TOPIX Index,Equity,10030054,10190255,2024-01-05,2026-04-12,0.86,1.6,4,Japan
INV-00035,CUS-0003,ADV-0028,Manulife Sustainable Asia,Equity,13211359,14600597,2020-08-23,2026-05-01,9.61,10.52,4,Asia Pacific
INV-00036,CUS-0184,ADV-0026,Manulife Global Bond,Fixed Income,9204756,11005502,2025-07-01,2026-04-08,8.04,19.56,2,Global
INV-00037,CUS-0078,ADV-0001,Manulife Global Equity,Equity,11444186,9378582,2025-01-11,2026-04-09,-8.83,-18.05,4,Global
INV-00038,CUS-0046,ADV-0029,Manulife Global Bond,Fixed Income,6272316,5881936,2019-11-21,2026-04-27,-4.63,-6.22,2,Global
INV-00039,CUS-0044,ADV-0027,Manulife Japan TOPIX Index,Equity,4818777,5367617,2019-03-03,2026-04-02,4.41,11.39,4,Japan
INV-00040,CUS-0058,ADV-0014,Manulife US Tech Innovation,Equity,11288531,12750748,2018-07-29,2026-04-26,10.44,12.95,5,North America
INV-00041,CUS-0132,ADV-0030,Manulife Japan TOPIX Index,Equity,889722,1063680,2018-10-16,2026-05-01,9.43,19.55,4,Japan
INV-00042,CUS-0090,ADV-0004,Manulife Asia ex-Japan Equity,Equity,22458822,20101090,2024-10-07,2026-04-28,-8.93,-10.5,5,Asia Pacific
INV-00043,CUS-0096,ADV-0028,Manulife Japan Growth,Equity,6587371,7819477,2024-01-25,2026-04-08,7.18,18.7,5,Japan
INV-00044,CUS-0057,ADV-0007,Manulife Yen Money Market,Money Market,23846386,19164905,2019-03-02,2026-04-15,-18.58,-19.63,1,Japan
INV-00045,CUS-0091,ADV-0024,Manulife Japan TOPIX Index,Equity,21155718,21058751,2020-02-16,2026-04-17,-0.31,-0.46,4,Japan
INV-00046,CUS-0070,ADV-0005,Manulife Asia ex-Japan Equity,Equity,10995053,11897475,2021-11-15,2026-04-17,6.84,8.21,5,Asia Pacific
INV-00047,CUS-0091,ADV-0021,Manulife Balanced Yen,Mixed,7128864,5940552,2018-01-06,2026-04-30,-13.67,-16.67,3,Japan
INV-00048,CUS-0013,ADV-0026,Manulife Global Equity,Equity,3294267,3521761,2025-06-02,2026-04-14,4.87,6.91,4,Global
INV-00049,CUS-0049,ADV-0016,Manulife Sustainable Asia,Equity,7654099,6812821,2018-06-30,2026-04-12,-7.73,-10.99,4,Asia Pacific
INV-00050,CUS-0065,ADV-0026,Manulife Japan TOPIX Index,Equity,10101632,9931225,2023-02-13,2026-04-23,-1.17,-1.69,4,Japan
INV-00051,CUS-0185,ADV-0025,Manulife Japan TOPIX Index,Equity,18443485,18660140,2020-11-30,2026-04-19,0.81,1.17,4,Japan
INV-00052,CUS-0145,ADV-0024,Manulife Global Equity,Equity,15495875,16562852,2018-05-29,2026-04-16,4.88,6.89,4,Global
INV-00053,CUS-0012,ADV-0028,Manulife Japan Growth,Equity,15913291,16426861,2024-11-26,2026-04-30,2.25,3.23,5,Japan
INV-00054,CUS-0079,ADV-0016,Manulife Yen Money Market,Money Market,21787676,20937977,2022-10-25,2026-04-09,-2.97,-3.9,1,Japan
INV-00055,CUS-0126,ADV-0013,Manulife Asia ex-Japan Equity,Equity,18846392,21308070,2025-05-14,2026-04-14,8.17,13.06,5,Asia Pacific
INV-00056,CUS-0027,ADV-0001,Manulife Global Equity,Equity,17781677,14358816,2019-07-02,2026-04-15,-8.15,-19.25,4,Global
INV-00057,CUS-0120,ADV-0004,Manulife Balanced Yen,Mixed,12061449,9765179,2018-03-28,2026-04-26,-6.6,-19.04,3,Japan
INV-00058,CUS-0159,ADV-0010,Manulife Yen Money Market,Money Market,26501236,29773125,2018-01-23,2026-04-20,9.93,12.35,1,Japan
INV-00059,CUS-0139,ADV-0024,Manulife Japan TOPIX Index,Equity,1835724,1484956,2020-01-15,2026-04-18,-18.07,-19.11,4,Japan
INV-00060,CUS-0175,ADV-0005,Manulife Sustainable Asia,Equity,10135052,8547223,2021-09-01,2026-04-15,-10.55,-15.67,4,Asia Pacific
INV-00061,CUS-0161,ADV-0015,Manulife Sustainable Asia,Equity,21901199,22480619,2023-07-24,2026-04-08,1.48,2.65,4,Asia Pacific
INV-00062,CUS-0155,ADV-0003,Manulife Global Bond,Fixed Income,14923504,14222901,2024-08-11,2026-04-21,-2.37,-4.69,2,Global
INV-00063,CUS-0045,ADV-0008,Manulife Yen Money Market,Money Market,743485,861151,2025-07-29,2026-04-17,11.23,15.83,1,Japan
INV-00064,CUS-0129,ADV-0029,Manulife Sustainable Asia,Equity,18058847,19124930,2023-06-26,2026-04-26,2.26,5.9,4,Asia Pacific
INV-00065,CUS-0080,ADV-0016,Manulife Yen Money Market,Money Market,22499053,25829496,2022-06-26,2026-04-02,8.16,14.8,1,Japan
INV-00066,CUS-0010,ADV-0016,Manulife Yen Money Market,Money Market,1197048,1113334,2019-07-03,2026-04-07,-5.52,-6.99,1,Japan
INV-00067,CUS-0066,ADV-0008,Manulife Global Bond,Fixed Income,26601679,22127152,2020-11-04,2026-04-19,-6.08,-16.82,2,Global
INV-00068,CUS-0056,ADV-0026,Manulife Global Equity,Equity,25760994,31115284,2020-08-22,2026-04-03,11.6,20.78,4,Global
INV-00069,CUS-0141,ADV-0026,Manulife Global Bond,Fixed Income,3068702,3488086,2023-09-07,2026-04-13,6.64,13.67,2,Global
INV-00070,CUS-0034,ADV-0015,Manulife Balanced Yen,Mixed,1579192,1586262,2019-11-15,2026-04-27,0.35,0.45,3,Japan
INV-00071,CUS-0069,ADV-0002,Manulife Japan Government Bond,Fixed Income,6035945,7154336,2025-12-08,2026-04-21,13.51,18.53,1,Japan
INV-00072,CUS-0052,ADV-0013,Manulife Japan Growth,Equity,9417045,11536301,2023-04-02,2026-04-06,15.42,22.5,5,Japan
INV-00073,CUS-0124,ADV-0010,Manulife Japan Government Bond,Fixed Income,18509954,16254112,2025-07-15,2026-04-01,-4.59,-12.19,1,Japan
INV-00074,CUS-0186,ADV-0012,Manulife Global Equity,Equity,13814580,14403616,2021-10-02,2026-04-25,2.88,4.26,4,Global
INV-00075,CUS-0068,ADV-0015,Manulife Japan Growth,Equity,19274889,20924238,2020-08-19,2026-04-29,2.59,8.56,5,Japan
INV-00076,CUS-0023,ADV-0030,Manulife Global Equity,Equity,12928142,13864260,2023-03-09,2026-04-29,3.42,7.24,4,Global
INV-00077,CUS-0115,ADV-0016,Manulife Asia ex-Japan Equity,Equity,22361483,25767612,2022-03-29,2026-04-25,12.19,15.23,5,Asia Pacific
INV-00078,CUS-0171,ADV-0028,Manulife Sustainable Asia,Equity,21960889,23472843,2018-08-28,2026-04-29,6.66,6.88,4,Asia Pacific
INV-00079,CUS-0004,ADV-0006,Manulife Asia ex-Japan Equity,Equity,24586807,24167813,2023-01-08,2026-04-06,-0.6,-1.7,5,Asia Pacific
INV-00080,CUS-0030,ADV-0007,Manulife Asia ex-Japan Equity,Equity,6056845,5892793,2025-02-13,2026-04-30,-2.02,-2.71,5,Asia Pacific
INV-00081,CUS-0004,ADV-0023,Manulife Asia ex-Japan Equity,Equity,9084779,8641791,2022-06-07,2026-04-17,-2.72,-4.88,5,Asia Pacific
INV-00082,CUS-0191,ADV-0008,Manulife Asia ex-Japan Equity,Equity,14800780,12323615,2024-02-26,2026-04-19,-6.42,-16.74,5,Asia Pacific
INV-00083,CUS-0032,ADV-0014,Manulife Global Equity,Equity,29197291,31137067,2023-12-28,2026-04-27,2.35,6.64,4,Global
INV-00084,CUS-0124,ADV-0021,Manulife Asia ex-Japan Equity,Equity,18726290,17033396,2019-03-13,2026-04-09,-3.26,-9.04,5,Asia Pacific
INV-00085,CUS-0111,ADV-0006,Manulife Japan Government Bond,Fixed Income,8346995,8243831,2023-01-03,2026-04-28,-0.81,-1.24,1,Japan
INV-00086,CUS-0055,ADV-0012,Manulife Global Equity,Equity,13950644,12887723,2020-06-28,2026-04-19,-2.74,-7.62,4,Global
INV-00087,CUS-0042,ADV-0023,Manulife Japan Government Bond,Fixed Income,5997501,7029842,2020-06-25,2026-04-16,12.25,17.21,1,Japan
INV-00088,CUS-0111,ADV-0001,Manulife Japan TOPIX Index,Equity,6535668,7373652,2024-06-18,2026-04-29,10.03,12.82,4,Japan
INV-00089,CUS-0038,ADV-0009,Manulife Japan Growth,Equity,7619036,7030252,2025-03-04,2026-04-01,-2.33,-7.73,5,Japan
INV-00090,CUS-0175,ADV-0016,Manulife Balanced Yen,Mixed,23479761,26380093,2024-05-04,2026-04-14,10.42,12.35,3,Japan
INV-00091,CUS-0026,ADV-0008,Manulife Japan Government Bond,Fixed Income,26891071,32410565,2019-05-22,2026-04-13,9.93,20.53,1,Japan
INV-00092,CUS-0184,ADV-0030,Manulife Global Equity,Equity,3171265,3320494,2019-08-01,2026-04-25,2.71,4.71,4,Global
INV-00093,CUS-0188,ADV-0024,Manulife Sustainable Asia,Equity,17430037,16609225,2024-05-24,2026-04-16,-2.54,-4.71,4,Asia Pacific
INV-00094,CUS-0049,ADV-0023,Manulife Balanced Yen,Mixed,21763605,26412530,2021-11-17,2026-04-01,14.76,21.36,3,Japan
INV-00095,CUS-0091,ADV-0005,Manulife Sustainable Asia,Equity,13962796,14952235,2020-07-15,2026-04-17,5.71,7.09,4,Asia Pacific
INV-00096,CUS-0066,ADV-0018,Manulife Asia ex-Japan Equity,Equity,26686652,23952738,2020-09-26,2026-04-17,-7.83,-10.24,5,Asia Pacific
INV-00097,CUS-0033,ADV-0016,Manulife Global Bond,Fixed Income,21182909,26331316,2020-09-08,2026-04-21,21.64,24.3,2,Global
INV-00098,CUS-0107,ADV-0017,Manulife Sustainable Asia,Equity,15404266,12441456,2024-07-05,2026-04-09,-13.35,-19.23,4,Asia Pacific
INV-00099,CUS-0059,ADV-0014,Manulife Japan TOPIX Index,Equity,28086320,30843443,2018-01-08,2026-04-24,9.46,9.82,4,Japan
INV-00100,CUS-0128,ADV-0002,Manulife Asia ex-Japan Equity,Equity,23066488,25805650,2022-12-23,2026-04-11,5.48,11.88,5,Asia Pacific
INV-00101,CUS-0020,ADV-0013,Manulife Japan Growth,Equity,27788217,24195482,2020-07-13,2026-04-12,-7.48,-12.93,5,Japan
INV-00102,CUS-0147,ADV-0020,Manulife Global Equity,Equity,7446942,7550361,2018-01-17,2026-04-07,1.17,1.39,4,Global
INV-00103,CUS-0090,ADV-0015,Manulife Sustainable Asia,Equity,5842637,6064550,2025-07-08,2026-04-23,3.42,3.8,4,Asia Pacific
INV-00104,CUS-0163,ADV-0005,Manulife Global Bond,Fixed Income,21749716,21226880,2023-04-25,2026-04-15,-1.2,-2.4,2,Global
INV-00105,CUS-0053,ADV-0006,Manulife Global Bond,Fixed Income,22686699,22375261,2021-10-26,2026-04-20,-0.86,-1.37,2,Global
INV-00106,CUS-0182,ADV-0028,Manulife Global Bond,Fixed Income,21288322,17318015,2023-03-24,2026-04-09,-15.17,-18.65,2,Global
INV-00107,CUS-0134,ADV-0013,Manulife Japan TOPIX Index,Equity,13759107,16363421,2021-09-16,2026-04-20,16.6,18.93,4,Japan
INV-00108,CUS-0097,ADV-0012,Manulife Japan Growth,Equity,14776250,18443026,2021-06-17,2026-04-29,11.82,24.82,5,Japan
INV-00109,CUS-0060,ADV-0018,Manulife Global Equity,Equity,10267474,11892082,2018-11-10,2026-04-02,14.32,15.82,4,Global
INV-00110,CUS-0167,ADV-0006,Manulife Asia ex-Japan Equity,Equity,27507529,22876878,2020-10-29,2026-04-29,-16.35,-16.83,5,Asia Pacific
INV-00111,CUS-0070,ADV-0010,Manulife Japan Growth,Equity,27311991,31053929,2022-01-21,2026-04-03,11.44,13.7,5,Japan
INV-00112,CUS-0060,ADV-0020,Manulife Yen Money Market,Money Market,14632896,12591634,2020-04-09,2026-04-16,-5.2,-13.95,1,Japan
INV-00113,CUS-0172,ADV-0007,Manulife Japan Growth,Equity,20665347,24417661,2021-09-23,2026-04-17,10.45,18.16,5,Japan
INV-00114,CUS-0091,ADV-0011,Manulife Sustainable Asia,Equity,1577124,1917393,2020-01-07,2026-04-11,8.43,21.58,4,Asia Pacific
INV-00115,CUS-0084,ADV-0029,Manulife Sustainable Asia,Equity,19444341,21586833,2020-07-26,2026-04-04,3.82,11.02,4,Asia Pacific
INV-00116,CUS-0177,ADV-0023,Manulife US Tech Innovation,Equity,22135019,23463980,2024-11-09,2026-04-04,1.97,6.0,5,North America
INV-00117,CUS-0150,ADV-0025,Manulife Japan TOPIX Index,Equity,5785008,5247068,2019-04-16,2026-04-26,-3.95,-9.3,4,Japan
INV-00118,CUS-0101,ADV-0026,Manulife Sustainable Asia,Equity,25006211,20999658,2020-08-20,2026-04-17,-9.97,-16.02,4,Asia Pacific
INV-00119,CUS-0005,ADV-0002,Manulife Yen Money Market,Money Market,3942156,3232950,2023-10-16,2026-04-16,-14.66,-17.99,1,Japan
INV-00120,CUS-0181,ADV-0027,Manulife Japan TOPIX Index,Equity,2413101,2950258,2021-08-10,2026-04-27,19.34,22.26,4,Japan
INV-00121,CUS-0084,ADV-0028,Manulife Global Bond,Fixed Income,26704875,23952661,2021-06-06,2026-04-24,-9.67,-10.31,2,Global
INV-00122,CUS-0016,ADV-0005,Manulife Asia ex-Japan Equity,Equity,18975009,16180693,2025-07-26,2026-04-21,-14.42,-14.73,5,Asia Pacific
INV-00123,CUS-0055,ADV-0003,Manulife Japan Government Bond,Fixed Income,19422523,21174056,2019-02-27,2026-04-11,6.64,9.02,1,Japan
INV-00124,CUS-0070,ADV-0021,Manulife Yen Money Market,Money Market,15599731,18620211,2018-01-04,2026-04-18,7.86,19.36,1,Japan
INV-00125,CUS-0016,ADV-0026,Manulife Asia ex-Japan Equity,Equity,22891050,21009303,2025-08-14,2026-04-24,-3.97,-8.22,5,Asia Pacific
INV-00126,CUS-0034,ADV-0023,Manulife Japan Government Bond,Fixed Income,17578006,18906182,2020-09-18,2026-04-29,3.12,7.56,1,Japan
INV-00127,CUS-0193,ADV-0004,Manulife Global Bond,Fixed Income,4853876,4293157,2023-12-17,2026-04-24,-4.27,-11.55,2,Global
INV-00128,CUS-0110,ADV-0028,Manulife Global Equity,Equity,24616448,23275989,2023-06-23,2026-04-20,-2.5,-5.45,4,Global
INV-00129,CUS-0021,ADV-0025,Manulife Global Equity,Equity,23934888,27331515,2022-05-31,2026-04-26,4.98,14.19,4,Global
INV-00130,CUS-0187,ADV-0009,Manulife Asia ex-Japan Equity,Equity,12180128,10782865,2022-01-04,2026-04-02,-8.08,-11.47,5,Asia Pacific
INV-00131,CUS-0042,ADV-0009,Manulife Global Bond,Fixed Income,6832906,7734741,2025-07-30,2026-04-27,7.17,13.2,2,Global
INV-00132,CUS-0067,ADV-0014,Manulife Japan Government Bond,Fixed Income,24936516,25152854,2020-12-14,2026-04-16,0.51,0.87,1,Japan
INV-00133,CUS-0114,ADV-0024,Manulife Japan Growth,Equity,18381029,15118359,2025-11-14,2026-04-28,-14.7,-17.75,5,Japan
INV-00134,CUS-0128,ADV-0018,Manulife Sustainable Asia,Equity,8121297,9347666,2018-09-28,2026-04-16,11.39,15.1,4,Asia Pacific
INV-00135,CUS-0029,ADV-0005,Manulife Balanced Yen,Mixed,6198369,7095048,2021-05-02,2026-04-01,13.95,14.47,3,Japan
INV-00136,CUS-0090,ADV-0021,Manulife Global Bond,Fixed Income,4313277,4341523,2025-02-24,2026-04-21,0.5,0.65,2,Global
INV-00137,CUS-0053,ADV-0030,Manulife Japan Government Bond,Fixed Income,3785982,3747233,2021-10-15,2026-04-10,-0.36,-1.02,1,Japan
INV-00138,CUS-0164,ADV-0004,Manulife Global Bond,Fixed Income,6786206,5430314,2021-11-11,2026-04-29,-8.52,-19.98,2,Global
INV-00139,CUS-0044,ADV-0022,Manulife Yen Money Market,Money Market,3836843,4294671,2024-12-23,2026-04-09,7.11,11.93,1,Japan
INV-00140,CUS-0045,ADV-0023,Manulife Sustainable Asia,Equity,17829673,19575507,2018-09-15,2026-04-24,9.17,9.79,4,Asia Pacific
INV-00141,CUS-0038,ADV-0009,Manulife Balanced Yen,Mixed,8287152,7646752,2023-12-10,2026-04-19,-5.43,-7.73,3,Japan
INV-00142,CUS-0197,ADV-0025,Manulife Yen Money Market,Money Market,17791821,18050590,2018-02-02,2026-04-08,1.39,1.45,1,Japan
INV-00143,CUS-0017,ADV-0001,Manulife Asia ex-Japan Equity,Equity,5697486,7052325,2018-11-20,2026-04-29,7.94,23.78,5,Asia Pacific
INV-00144,CUS-0127,ADV-0008,Manulife Sustainable Asia,Equity,15502603,15888470,2020-11-13,2026-04-10,1.06,2.49,4,Asia Pacific
INV-00145,CUS-0131,ADV-0026,Manulife Japan Growth,Equity,24227702,20314305,2021-09-14,2026-04-19,-13.65,-16.15,5,Japan
INV-00146,CUS-0044,ADV-0003,Manulife Global Bond,Fixed Income,4167593,4890188,2022-05-24,2026-04-27,9.97,17.34,2,Global
INV-00147,CUS-0152,ADV-0018,Manulife Japan Growth,Equity,25539222,23599273,2022-07-09,2026-04-19,-5.57,-7.6,5,Japan
INV-00148,CUS-0161,ADV-0018,Manulife Asia ex-Japan Equity,Equity,13639959,13513394,2023-11-05,2026-04-02,-0.79,-0.93,5,Asia Pacific
INV-00149,CUS-0023,ADV-0017,Manulife Sustainable Asia,Equity,11639736,10141237,2022-04-03,2026-04-25,-9.27,-12.87,4,Asia Pacific
INV-00150,CUS-0134,ADV-0017,Manulife Global Equity,Equity,11172330,12984426,2023-12-12,2026-04-14,6.12,16.22,4,Global
INV-00151,CUS-0087,ADV-0030,Manulife Yen Money Market,Money Market,28459873,30580452,2018-03-31,2026-04-24,4.99,7.45,1,Japan
INV-00152,CUS-0145,ADV-0006,Manulife Sustainable Asia,Equity,20190714,23836379,2020-07-18,2026-04-20,10.36,18.06,4,Asia Pacific
INV-00153,CUS-0182,ADV-0018,Manulife Japan TOPIX Index,Equity,23154964,21429638,2020-06-04,2026-04-07,-7.18,-7.45,4,Japan
INV-00154,CUS-0018,ADV-0030,Manulife Global Equity,Equity,28989385,34455865,2021-11-06,2026-04-22,6.07,18.86,4,Global
INV-00155,CUS-0048,ADV-0009,Manulife US Tech Innovation,Equity,22219811,25463475,2020-07-27,2026-04-11,14.47,14.6,5,North America
INV-00156,CUS-0030,ADV-0016,Manulife Japan Growth,Equity,4738810,4298956,2025-10-12,2026-04-19,-9.16,-9.28,5,Japan
INV-00157,CUS-0064,ADV-0011,Manulife Asia ex-Japan Equity,Equity,27320995,30272448,2019-10-17,2026-04-09,5.0,10.8,5,Asia Pacific
INV-00158,CUS-0131,ADV-0014,Manulife Global Equity,Equity,24179272,20931039,2019-09-18,2026-04-22,-11.6,-13.43,4,Global
INV-00159,CUS-0017,ADV-0007,Manulife Japan Growth,Equity,21531937,20791282,2019-12-06,2026-04-03,-2.17,-3.44,5,Japan
INV-00160,CUS-0010,ADV-0014,Manulife Sustainable Asia,Equity,8794602,10743303,2019-02-11,2026-04-29,6.82,22.16,4,Asia Pacific
INV-00161,CUS-0108,ADV-0017,Manulife US Tech Innovation,Equity,20195262,16444606,2018-02-07,2026-04-25,-8.32,-18.57,5,North America
INV-00162,CUS-0003,ADV-0011,Manulife Japan Government Bond,Fixed Income,27594539,27739188,2023-09-30,2026-04-26,0.45,0.52,1,Japan
INV-00163,CUS-0006,ADV-0021,Manulife Japan Growth,Equity,26188317,27089582,2019-03-16,2026-04-04,1.73,3.44,5,Japan
INV-00164,CUS-0163,ADV-0030,Manulife US Tech Innovation,Equity,3473910,4046675,2018-09-21,2026-05-01,9.47,16.49,5,North America
INV-00165,CUS-0053,ADV-0003,Manulife Japan Government Bond,Fixed Income,1784126,1741266,2023-09-12,2026-04-12,-0.75,-2.4,1,Japan
INV-00166,CUS-0025,ADV-0029,Manulife Asia ex-Japan Equity,Equity,29193510,32729495,2019-11-18,2026-04-16,6.2,12.11,5,Asia Pacific
INV-00167,CUS-0181,ADV-0003,Manulife Balanced Yen,Mixed,23420278,25789376,2024-04-29,2026-04-19,3.67,10.12,3,Japan
INV-00168,CUS-0169,ADV-0019,Manulife Global Bond,Fixed Income,24258605,24113368,2019-06-07,2026-04-27,-0.58,-0.6,2,Global
INV-00169,CUS-0059,ADV-0014,Manulife Global Equity,Equity,1532786,1868559,2023-06-23,2026-04-01,9.02,21.91,4,Global
INV-00170,CUS-0005,ADV-0023,Manulife Yen Money Market,Money Market,20098053,23121002,2020-02-18,2026-04-12,11.15,15.04,1,Japan
INV-00171,CUS-0133,ADV-0029,Manulife Japan Government Bond,Fixed Income,12487240,10275905,2019-11-07,2026-05-01,-17.18,-17.71,1,Japan
INV-00172,CUS-0152,ADV-0002,Manulife Japan TOPIX Index,Equity,27236580,28944697,2020-10-13,2026-04-08,2.23,6.27,4,Japan
INV-00173,CUS-0022,ADV-0016,Manulife Balanced Yen,Mixed,19538306,19192613,2025-08-01,2026-04-17,-0.74,-1.77,3,Japan
INV-00174,CUS-0047,ADV-0022,Manulife Balanced Yen,Mixed,16421762,19700285,2023-05-02,2026-04-26,19.87,19.96,3,Japan
INV-00175,CUS-0012,ADV-0003,Manulife Asia ex-Japan Equity,Equity,19491225,19331762,2025-12-01,2026-04-30,-0.45,-0.82,5,Asia Pacific
INV-00176,CUS-0073,ADV-0010,Manulife Sustainable Asia,Equity,24074946,27981264,2020-11-11,2026-04-19,13.53,16.23,4,Asia Pacific
INV-00177,CUS-0130,ADV-0004,Manulife Japan Growth,Equity,25866587,28040043,2021-03-14,2026-04-25,3.66,8.4,5,Japan
INV-00178,CUS-0175,ADV-0003,Manulife Balanced Yen,Mixed,23355568,24915348,2025-05-30,2026-04-24,6.48,6.68,3,Japan
INV-00179,CUS-0004,ADV-0013,Manulife US Tech Innovation,Equity,24327453,27629801,2025-10-27,2026-04-19,10.02,13.57,5,North America
INV-00180,CUS-0020,ADV-0015,Manulife Asia ex-Japan Equity,Equity,26086324,23968459,2023-04-01,2026-04-15,-4.46,-8.12,5,Asia Pacific
INV-00181,CUS-0037,ADV-0016,Manulife Japan TOPIX Index,Equity,11416367,13810345,2025-11-24,2026-04-06,13.71,20.97,4,Japan
INV-00182,CUS-0139,ADV-0027,Manulife Japan Government Bond,Fixed Income,17118270,20914091,2019-02-22,2026-04-29,13.35,22.17,1,Japan
INV-00183,CUS-0153,ADV-0018,Manulife Asia ex-Japan Equity,Equity,11661242,13818670,2020-03-16,2026-04-05,14.27,18.5,5,Asia Pacific
INV-00184,CUS-0060,ADV-0021,Manulife Japan Government Bond,Fixed Income,9641609,11438815,2018-05-08,2026-04-04,6.06,18.64,1,Japan
