transaction_id,customer_id,policy_id,investment_id,transaction_type,amount,transaction_date,payment_method,status,reference_number
TXN-000020,CUS-0062,,,Loan Repayment,1914180,2025-06-25,Convenience Store (Konbini),Completed,REF-74059187
TXN-000021,CUS-0134,,INV-00150,Investment Redemption,2709007,2024-03-16,Bank Transfer,Completed,REF-81286944
TXN-000022,CUS-0142,,,Policy Loan,285173,2025-12-15,Bank Transfer,Completed,REF-86714460
TXN-000023,CUS-0155,,,Policy Loan,1210956,2025-08-03,Credit Card,Completed,REF-95734539
TXN-000024,CUS-0133,POL-00028,,Premium Payment,30210,2024-05-28,Credit Card,Failed,REF-43329615
TXN-000025,CUS-0014,POL-00251,,Premium Payment,1707,2025-11-05,Credit Card,Completed,REF-82220721
TXN-000026,CUS-0126,,INV-00055,Investment Purchase,2620593,2025-06-09,Credit Card,Completed,REF-73961747
TXN-000027,CUS-0007,,,Annuity Payout,743287,2024-10-25,Convenience Store (Konbini),Completed,REF-92750584
TXN-000028,CUS-0088,,,Loan Repayment,999222,2024-04-08,Bank Transfer,Completed,REF-15446806
TXN-000029,CUS-0087,POL-00075,,Premium Payment,17330,2025-11-25,Bank Transfer,Completed,REF-36358742
TXN-000030,CUS-0186,POL-00180,,Claim Settlement,3802277,2025-08-10,Credit Card,Completed,REF-90023992
TXN-000031,CUS-0066,,,Annuity Payout,755417,2025-09-16,Convenience Store (Konbini),Completed,REF-47019174
TXN-000032,CUS-0016,,INV-00003,Investment Purchase,3393709,2024-01-26,Bank Transfer,Completed,REF-24693210
TXN-000033,CUS-0047,,INV-00196,Investment Redemption,521835,2025-04-01,Credit Card,Completed,REF-45168272
TXN-000034,CUS-0127,POL-00267,,Claim Settlement,1380181,2025-08-23,Credit Card,Completed,REF-46721587
TXN-000035,CUS-0120,,INV-00057,Investment Redemption,579405,2024-12-17,Convenience Store (Konbini),Completed,REF-11479493
TXN-000036,CUS-0123,,,Loan Repayment,114211,2025-07-04,Bank Transfer,Pending,REF-56545168
TXN-000037,CUS-0108,POL-00108,,Premium Payment,37578,2024-04-19,Credit Card,Completed,REF-65775771
TXN-000038,CUS-0152,,INV-00147,Investment Purchase,2457193,2025-09-13,Credit Card,Failed,REF-46922638
TXN-000039,CUS-0166,,,Annuity Payout,1712436,2025-04-26,Furikomi,Completed,REF-57102688
TXN-000040,CUS-0029,POL-00102,,Claim Settlement,202137,2024-03-25,Direct Debit,Completed,REF-14901605
TXN-000041,CUS-0063,POL-00390,,Premium Payment,33654,2026-01-03,Convenience Store (Konbini),Completed,REF-57793775
TXN-000042,CUS-0084,POL-00046,,Claim Settlement,1345685,2024-10-13,Direct Debit,Completed,REF-96669374
TXN-000043,CUS-0091,,INV-00045,Investment Redemption,1923379,2025-01-09,Bank Transfer,Completed,REF-23328865
TXN-000044,CUS-0026,,,Annuity Payout,1863696,2024-10-05,Convenience Store (Konbini),Failed,REF-15141961
TXN-000045,CUS-0060,,INV-00184,Investment Purchase,3774717,2026-01-27,Convenience Store (Konbini),Completed,REF-67454590
TXN-000046,CUS-0090,,,Policy Loan,996210,2026-04-23,Direct Debit,Completed,REF-62096566
TXN-000047,CUS-0030,POL-00191,,Claim Settlement,2770672,2025-11-12,Furikomi,Completed,REF-50471929
TXN-000048,CUS-0134,,INV-00150,Investment Redemption,3819348,2025-10-12,Bank Transfer,Completed,REF-62242149
TXN-000049,CUS-0109,,,Policy Loan,1916275,2025-06-29,Credit Card,Completed,REF-59502710
TXN-000050,CUS-0008,,INV-00021,Investment Purchase,3553990,2024-02-15,Convenience Store (Konbini),Pending,REF-64608788
TXN-000051,CUS-0005,,INV-00119,Investment Redemption,1447845,2025-08-28,Convenience Store (Konbini),Failed,REF-96965349
TXN-000052,CUS-0030,POL-00191,,Premium Payment,85865,2024-03-18,Bank Transfer,Completed,REF-50075367
TXN-000053,CUS-0075,POL-00170,,Claim Settlement,2237718,2025-02-15,Convenience Store (Konbini),Completed,REF-53938795
TXN-000054,CUS-0184,POL-00307,,Claim Settlement,2605241,2024-11-03,Furikomi,Completed,REF-33645614
TXN-000055,CUS-0045,,,Annuity Payout,612780,2025-07-16,Direct Debit,Pending,REF-11990762
TXN-000056,CUS-0039,POL-00382,,Claim Settlement,3443028,2026-01-11,Bank Transfer,Completed,REF-28277567
TXN-000057,CUS-0058,,INV-00040,Investment Redemption,4044164,2025-10-02,Direct Debit,Completed,REF-14950377
TXN-000058,CUS-0089,POL-00379,,Premium Payment,13978,2024-06-16,Direct Debit,Failed,REF-29162751
TXN-000059,CUS-0176,,,Annuity Payout,298523,2024-08-10,Convenience Store (Konbini),Completed,REF-97140623
TXN-000060,CUS-0019,POL-00127,,Claim Settlement,3248708,2025-03-21,Convenience Store (Konbini),Completed,REF-16611713
TXN-000061,CUS-0098,POL-00172,,Premium Payment,598,2024-01-31,Direct Debit,Completed,REF-45231109
TXN-000062,CUS-0095,POL-00240,,Premium Payment,8761,2025-02-05,Credit Card,Completed,REF-18387192
TXN-000063,CUS-0170,POL-00166,,Claim Settlement,1959554,2026-02-06,Direct Debit,Pending,REF-69468012
TXN-000064,CUS-0010,,INV-00066,Investment Purchase,3906202,2024-11-06,Bank Transfer,Completed,REF-40848352
TXN-000065,CUS-0016,,INV-00122,Investment Redemption,1787488,2025-04-23,Bank Transfer,Completed,REF-16429975
TXN-000066,CUS-0106,POL-00122,,Claim Settlement,2506549,2025-06-16,Furikomi,Completed,REF-38698591
TXN-000067,CUS-0127,POL-00267,,Premium Payment,413,2025-08-17,Furikomi,Completed,REF-60738294
TXN-000068,CUS-0070,,INV-00111,Investment Purchase,4328954,2024-05-27,Furikomi,Completed,REF-29901610
TXN-000069,CUS-0133,,INV-00171,Investment Purchase,2668669,2025-11-30,Direct Debit,Completed,REF-76626022
TXN-000070,CUS-0081,,,Loan Repayment,1161417,2026-04-17,Bank Transfer,Completed,REF-18175297
TXN-000071,CUS-0187,,INV-00130,Investment Redemption,448557,2025-05-10,Furikomi,Completed,REF-15164303
TXN-000072,CUS-0098,,,Loan Repayment,669472,2026-03-05,Direct Debit,Completed,REF-30642449
TXN-000073,CUS-0060,,INV-00109,Investment Redemption,2480925,2025-11-20,Convenience Store (Konbini),Completed,REF-27134162
TXN-000074,CUS-0090,,,Annuity Payout,711145,2025-12-03,Convenience Store (Konbini),Completed,REF-78999163
TXN-000075,CUS-0019,,,Policy Loan,1199539,2026-02-26,Bank Transfer,Completed,REF-55830387
TXN-000076,CUS-0177,,INV-00022,Investment Purchase,1386740,2025-06-19,Credit Card,Completed,REF-55503158
TXN-000077,CUS-0034,,INV-00192,Investment Redemption,2191621,2026-01-23,Furikomi,Failed,REF-83437070
TXN-000078,CUS-0131,,,Policy Loan,748389,2025-11-16,Furikomi,Completed,REF-45550504
TXN-000079,CUS-0067,,INV-00132,Investment Purchase,4309589,2024-09-08,Direct Debit,Completed,REF-91665162
TXN-000080,CUS-0192,,,Policy Loan,965186,2024-06-23,Credit Card,Completed,REF-48254950
TXN-000081,CUS-0091,,INV-00095,Investment Purchase,454618,2024-07-23,Bank Transfer,Completed,REF-32449512
TXN-000082,CUS-0105,,,Policy Loan,867821,2025-03-20,Credit Card,Completed,REF-61187735
TXN-000083,CUS-0045,,INV-00140,Investment Redemption,2225075,2025-06-05,Credit Card,Pending,REF-11030618
TXN-000084,CUS-0016,POL-00081,,Premium Payment,14365,2025-07-04,Furikomi,Completed,REF-32970981
TXN-000085,CUS-0097,POL-00062,,Premium Payment,243673,2025-03-30,Direct Debit,Completed,REF-51748213
TXN-000086,CUS-0084,,,Loan Repayment,1860508,2024-10-26,Convenience Store (Konbini),Completed,REF-11400198
TXN-000087,CUS-0171,,INV-00078,Investment Redemption,1627920,2025-10-22,Furikomi,Completed,REF-12359379
TXN-000088,CUS-0119,POL-00018,,Claim Settlement,3412214,2024-11-10,Furikomi,Pending,REF-29648418
TXN-000089,CUS-0190,,,Loan Repayment,1515202,2026-01-16,Credit Card,Completed,REF-28346705
TXN-000090,CUS-0103,,,Loan Repayment,1729778,2025-06-18,Furikomi,Completed,REF-66887843
TXN-000091,CUS-0056,,,Annuity Payout,1473053,2025-07-20,Bank Transfer,Pending,REF-10375665
TXN-000092,CUS-0049,,INV-00049,Investment Purchase,2813810,2026-01-21,Direct Debit,Completed,REF-54233777
TXN-000093,CUS-0013,,INV-00048,Investment Purchase,2101139,2025-09-28,Convenience Store (Konbini),Completed,REF-71583690
TXN-000094,CUS-0138,,,Policy Loan,650099,2024-05-27,Direct Debit,Completed,REF-30018968
TXN-000095,CUS-0149,,,Loan Repayment,737233,2024-12-18,Bank Transfer,Pending,REF-10472139
TXN-000096,CUS-0115,,,Policy Loan,555386,2024-10-16,Furikomi,Completed,REF-46538457
TXN-000097,CUS-0129,,,Policy Loan,1345735,2024-10-02,Furikomi,Failed,REF-86185920
TXN-000098,CUS-0191,,,Policy Loan,535721,2024-09-20,Credit Card,Completed,REF-80578253
TXN-000099,CUS-0030,POL-00191,,Premium Payment,85865,2024-10-17,Convenience Store (Konbini),Completed,REF-30049838
TXN-000100,CUS-0005,,INV-00170,Investment Purchase,3315565,2024-06-21,Bank Transfer,Completed,REF-50156739
TXN-000101,CUS-0105,,INV-00027,Investment Redemption,3550130,2024-11-28,Furikomi,Completed,REF-24725941
TXN-000102,CUS-0066,POL-00192,,Claim Settlement,1475855,2025-06-26,Credit Card,Failed,REF-65214895
TXN-000103,CUS-0159,POL-00367,,Premium Payment,7387,2025-04-07,Bank Transfer,Completed,REF-21087158
TXN-000104,CUS-0090,,INV-00136,Investment Purchase,2292236,2024-07-12,Convenience Store (Konbini),Completed,REF-92624703
TXN-000105,CUS-0189,,,Annuity Payout,831503,2024-03-14,Credit Card,Completed,REF-72879453
TXN-000106,CUS-0013,POL-00393,,Claim Settlement,2303634,2025-08-12,Credit Card,Completed,REF-58679726
TXN-000107,CUS-0113,POL-00148,,Premium Payment,91473,2024-10-11,Furikomi,Completed,REF-17591604
TXN-000108,CUS-0178,,,Annuity Payout,149245,2025-06-02,Convenience Store (Konbini),Completed,REF-25808194
TXN-000109,CUS-0184,,,Annuity Payout,902925,2026-04-28,Credit Card,Pending,REF-74976749
TXN-000110,CUS-0119,,,Annuity Payout,1000461,2024-11-15,Credit Card,Completed,REF-96713429
TXN-000111,CUS-0098,,,Policy Loan,87476,2026-02-08,Furikomi,Completed,REF-64251420
TXN-000112,CUS-0155,,INV-00062,Investment Redemption,2138130,2024-09-20,Direct Debit,Completed,REF-82151267
TXN-000113,CUS-0119,,,Policy Loan,1358852,2025-03-30,Direct Debit,Failed,REF-37560274
TXN-000114,CUS-0090,,INV-00103,Investment Redemption,1843358,2024-08-31,Furikomi,Completed,REF-83580752
TXN-000115,CUS-0154,POL-00090,,Claim Settlement,2301802,2024-09-03,Bank Transfer,Completed,REF-55787340
TXN-000116,CUS-0023,,INV-00076,Investment Purchase,2825206,2024-12-21,Credit Card,Completed,REF-98769056
TXN-000117,CUS-0089,,,Policy Loan,876337,2025-01-26,Furikomi,Completed,REF-26453738
TXN-000118,CUS-0073,,INV-00176,Investment Redemption,3187810,2024-04-22,Direct Debit,Completed,REF-49143562
TXN-000119,CUS-0025,POL-00227,,Claim Settlement,352189,2024-05-03,Convenience Store (Konbini),Completed,REF-31533341
TXN-000120,CUS-0096,,,Policy Loan,1351285,2025-11-08,Direct Debit,Failed,REF-49847481
TXN-000121,CUS-0147,,INV-00102,Investment Purchase,1064351,2024-11-21,Direct Debit,Failed,REF-33123113
TXN-000122,CUS-0041,,,Loan Repayment,1920258,2025-08-03,Direct Debit,Completed,REF-60878058
TXN-000123,CUS-0078,POL-00064,,Claim Settlement,1791253,2026-03-04,Furikomi,Pending,REF-49581595
TXN-000124,CUS-0094,POL-00286,,Premium Payment,6029,2024-11-12,Bank Transfer,Pending,REF-55337779
TXN-000125,CUS-0161,,,Loan Repayment,935317,2025-05-26,Convenience Store (Konbini),Completed,REF-44194173
TXN-000126,CUS-0013,POL-00393,,Claim Settlement,2303634,2025-07-24,Credit Card,Completed,REF-77453544
TXN-000127,CUS-0038,POL-00005,,Premium Payment,2952,2025-06-26,Convenience Store (Konbini),Completed,REF-19441585
TXN-000128,CUS-0194,,,Loan Repayment,87824,2024-03-02,Bank Transfer,Completed,REF-61663799
TXN-000129,CUS-0120,POL-00363,,Premium Payment,92777,2025-11-07,Furikomi,Completed,REF-98185039
TXN-000130,CUS-0053,,,Policy Loan,359531,2024-04-22,Credit Card,Completed,REF-63187035
TXN-000131,CUS-0014,,INV-00019,Investment Redemption,1738413,2024-08-03,Direct Debit,Completed,REF-69587343
TXN-000132,CUS-0142,POL-00338,,Premium Payment,5113,2025-01-07,Direct Debit,Completed,REF-32228001
TXN-000133,CUS-0112,POL-00117,,Premium Payment,20908,2025-04-11,Credit Card,Completed,REF-31226217
TXN-000134,CUS-0030,POL-00191,,Claim Settlement,2770672,2025-11-23,Furikomi,Completed,REF-33270434
TXN-000135,CUS-0091,POL-00282,,Premium Payment,2202,2024-09-25,Credit Card,Failed,REF-70420169
TXN-000136,CUS-0144,,,Loan Repayment,1169044,2024-10-26,Bank Transfer,Completed,REF-37418168
TXN-000137,CUS-0081,,,Loan Repayment,403607,2024-02-19,Furikomi,Completed,REF-39002302
TXN-000138,CUS-0015,POL-00093,,Claim Settlement,522648,2025-11-21,Furikomi,Completed,REF-11714645
TXN-000139,CUS-0016,,,Loan Repayment,1450803,2025-06-05,Credit Card,Completed,REF-49231720
TXN-000140,CUS-0010,,INV-00160,Investment Redemption,4466022,2025-06-13,Bank Transfer,Completed,REF-97699065
TXN-000141,CUS-0196,,,Annuity Payout,875781,2024-05-27,Credit Card,Completed,REF-12868588
TXN-000142,CUS-0017,,INV-00143,Investment Redemption,4629065,2024-02-05,Convenience Store (Konbini),Completed,REF-67513477
TXN-000143,CUS-0197,,INV-00142,Investment Redemption,2175330,2024-06-28,Convenience Store (Konbini),Failed,REF-24006551
TXN-000144,CUS-0025,,INV-00166,Investment Redemption,2664417,2025-01-22,Convenience Store (Konbini),Completed,REF-64367537
TXN-000145,CUS-0021,,INV-00129,Investment Purchase,2882906,2025-08-10,Convenience Store (Konbini),Completed,REF-25392247
TXN-000146,CUS-0120,,,Policy Loan,1285292,2025-02-03,Bank Transfer,Completed,REF-48229600
TXN-000147,CUS-0016,,INV-00125,Investment Purchase,3430868,2025-10-09,Convenience Store (Konbini),Completed,REF-63800593
TXN-000148,CUS-0017,POL-00260,,Claim Settlement,2145397,2025-08-26,Direct Debit,Completed,REF-24691314
TXN-000149,CUS-0155,POL-00115,,Claim Settlement,2814225,2024-01-19,Direct Debit,Completed,REF-45859355
TXN-000150,CUS-0187,,,Annuity Payout,100527,2026-01-15,Bank Transfer,Completed,REF-14975841
TXN-000151,CUS-0021,,INV-00129,Investment Purchase,4314914,2024-11-18,Credit Card,Completed,REF-67355341
TXN-000152,CUS-0052,,INV-00072,Investment Purchase,4181310,2025-05-12,Credit Card,Completed,REF-75287417
TXN-000153,CUS-0010,,INV-00160,Investment Redemption,2937845,2024-12-09,Direct Debit,Completed,REF-53586511
TXN-000154,CUS-0036,,,Loan Repayment,1342422,2025-07-26,Direct Debit,Completed,REF-22153523
TXN-000155,CUS-0164,,INV-00138,Investment Purchase,1781938,2024-11-10,Direct Debit,Completed,REF-15534747
TXN-000156,CUS-0152,POL-00219,,Premium Payment,392620,2024-06-17,Credit Card,Completed,REF-80658629
TXN-000157,CUS-0109,POL-00222,,Claim Settlement,2219879,2024-01-24,Convenience Store (Konbini),Completed,REF-63800109
TXN-000158,CUS-0004,,,Annuity Payout,211275,2024-05-07,Convenience Store (Konbini),Completed,REF-26527686
TXN-000159,CUS-0139,,INV-00182,Investment Redemption,501046,2025-09-29,Direct Debit,Completed,REF-11419421
TXN-000160,CUS-0079,POL-00310,,Claim Settlement,749697,2025-07-15,Credit Card,Completed,REF-59141362
TXN-000161,CUS-0033,POL-00072,,Premium Payment,35770,2026-02-21,Bank Transfer,Pending,REF-37218904
TXN-000162,CUS-0106,POL-00302,,Claim Settlement,2846768,2026-02-16,Credit Card,Completed,REF-67099582
TXN-000163,CUS-0117,,,Policy Loan,1966999,2024-04-26,Convenience Store (Konbini),Completed,REF-62230860
TXN-000164,CUS-0063,,,Loan Repayment,1827422,2024-03-15,Direct Debit,Completed,REF-23204293
TXN-000165,CUS-0023,,INV-00149,Investment Redemption,123612,2025-06-05,Direct Debit,Completed,REF-72212235
TXN-000166,CUS-0153,,,Loan Repayment,114590,2024-12-30,Furikomi,Completed,REF-37724245
TXN-000167,CUS-0147,,,Annuity Payout,748003,2024-07-03,Bank Transfer,Completed,REF-13829071
TXN-000168,CUS-0154,POL-00090,,Claim Settlement,2301802,2026-03-09,Direct Debit,Completed,REF-32367051
TXN-000169,CUS-0034,,,Policy Loan,413800,2026-03-07,Furikomi,Completed,REF-37883016
TXN-000170,CUS-0141,POL-00300,,Claim Settlement,1311901,2024-06-26,Direct Debit,Completed,REF-11927044
TXN-000171,CUS-0134,POL-00058,,Premium Payment,7039,2025-06-07,Furikomi,Completed,REF-99150923
TXN-000172,CUS-0186,,INV-00074,Investment Purchase,203264,2024-07-20,Convenience Store (Konbini),Completed,REF-75193143
TXN-000173,CUS-0017,,INV-00159,Investment Redemption,2561870,2024-01-19,Furikomi,Completed,REF-37813167
TXN-000174,CUS-0110,,INV-00128,Investment Redemption,445805,2025-09-15,Bank Transfer,Pending,REF-60373685
TXN-000175,CUS-0042,,INV-00087,Investment Purchase,586362,2025-10-31,Convenience Store (Konbini),Completed,REF-78248115
TXN-000176,CUS-0170,POL-00166,,Claim Settlement,1959554,2025-09-19,Convenience Store (Konbini),Completed,REF-55041591
TXN-000177,CUS-0145,,,Loan Repayment,1109505,2024-10-02,Credit Card,Completed,REF-59141374
TXN-000178,CUS-0134,,INV-00107,Investment Redemption,161210,2025-02-26,Furikomi,Completed,REF-37537774
TXN-000179,CUS-0181,POL-00027,,Premium Payment,2682,2024-08-27,Bank Transfer,Completed,REF-94955100
TXN-000180,CUS-0023,,,Policy Loan,1600083,2025-05-08,Direct Debit,Completed,REF-97552797
TXN-000181,CUS-0146,,INV-00187,Investment Purchase,2641881,2025-07-17,Furikomi,Completed,REF-46349084
TXN-000182,CUS-0014,,INV-00019,Investment Purchase,334137,2024-09-20,Convenience Store (Konbini),Completed,REF-46047894
TXN-000183,CUS-0165,,,Annuity Payout,1484999,2025-03-09,Convenience Store (Konbini),Completed,REF-62873065
TXN-000184,CUS-0050,,,Loan Repayment,867003,2025-09-27,Furikomi,Completed,REF-85790405
TXN-000185,CUS-0008,,,Policy Loan,706321,2024-11-22,Credit Card,Completed,REF-69208592
TXN-000186,CUS-0093,,,Loan Repayment,1761615,2024-12-25,Furikomi,Completed,REF-85281927
TXN-000187,CUS-0079,,,Policy Loan,524603,2025-10-07,Direct Debit,Completed,REF-58352219
TXN-000188,CUS-0081,POL-00022,,Claim Settlement,4624502,2024-01-12,Bank Transfer,Completed,REF-36011426
TXN-000189,CUS-0152,,INV-00172,Investment Redemption,2091497,2024-03-11,Convenience Store (Konbini),Completed,REF-63732191
TXN-000190,CUS-0014,POL-00258,,Claim Settlement,1180124,2026-04-01,Credit Card,Completed,REF-43069119
TXN-000191,CUS-0020,,INV-00180,Investment Purchase,1325881,2024-12-18,Convenience Store (Konbini),Completed,REF-17444258
TXN-000192,CUS-0037,,,Loan Repayment,1672498,2024-11-22,Credit Card,Completed,REF-40984640
TXN-000193,CUS-0083,,,Annuity Payout,116903,2026-04-17,Bank Transfer,Completed,REF-71598217
TXN-000194,CUS-0154,,,Annuity Payout,481656,2024-07-25,Direct Debit,Completed,REF-80894763
TXN-000195,CUS-0168,POL-00277,,Premium Payment,1317,2024-03-19,Furikomi,Completed,REF-98155380
TXN-000196,CUS-0053,,INV-00188,Investment Purchase,2667437,2025-06-01,Credit Card,Completed,REF-33150466
TXN-000197,CUS-0029,POL-00102,,Claim Settlement,202137,2025-04-27,Direct Debit,Completed,REF-93462642
TXN-000198,CUS-0134,,INV-00107,Investment Redemption,2589998,2025-07-03,Convenience Store (Konbini),Completed,REF-13574501
TXN-000199,CUS-0083,POL-00204,,Premium Payment,9307,2025-11-24,Convenience Store (Konbini),Failed,REF-76318868
TXN-000200,CUS-0044,POL-00311,,Claim Settlement,3028817,2024-11-23,Furikomi,Pending,REF-36094214
TXN-000201,CUS-0101,,INV-00118,Investment Purchase,1369046,2024-03-31,Furikomi,Completed,REF-27737836
TXN-000202,CUS-0036,,,Policy Loan,739829,2024-10-10,Credit Card,Completed,REF-18837063
TXN-000203,CUS-0199,,,Annuity Payout,1733331,2025-12-05,Furikomi,Completed,REF-65211180
TXN-000204,CUS-0044,,INV-00034,Investment Purchase,4829398,2025-09-11,Convenience Store (Konbini),Completed,REF-85612749
TXN-000205,CUS-0033,,,Annuity Payout,245379,2025-02-22,Direct Debit,Completed,REF-58090068
TXN-000206,CUS-0144,,,Annuity Payout,1203433,2025-06-10,Convenience Store (Konbini),Completed,REF-35409600
TXN-000207,CUS-0101,,INV-00118,Investment Redemption,609654,2024-10-25,Bank Transfer,Completed,REF-50173123
TXN-000208,CUS-0014,POL-00258,,Claim Settlement,1180124,2026-04-15,Bank Transfer,Completed,REF-63573431
TXN-000209,CUS-0137,,,Loan Repayment,473340,2024-03-06,Credit Card,Completed,REF-86141050
TXN-000210,CUS-0106,,,Annuity Payout,762572,2024-01-14,Direct Debit,Completed,REF-20879405
TXN-000211,CUS-0164,,,Loan Repayment,1431859,2025-07-12,Furikomi,Completed,REF-31468677
TXN-000212,CUS-0017,,INV-00159,Investment Redemption,4578073,2025-04-05,Direct Debit,Completed,REF-59609773
TXN-000213,CUS-0171,,INV-00078,Investment Redemption,3464109,2024-05-18,Convenience Store (Konbini),Completed,REF-96766460
TXN-000214,CUS-0100,,,Loan Repayment,1116395,2025-12-08,Credit Card,Pending,REF-31539137
TXN-000215,CUS-0075,POL-00170,,Claim Settlement,2237718,2025-06-14,Direct Debit,Completed,REF-56354860
TXN-000216,CUS-0127,,INV-00144,Investment Purchase,1033862,2024-06-01,Direct Debit,Completed,REF-17595691
TXN-000217,CUS-0097,,,Annuity Payout,957518,2024-02-27,Bank Transfer,Completed,REF-93127105
TXN-000218,CUS-0160,,,Loan Repayment,1977059,2025-01-20,Furikomi,Completed,REF-49857666
TXN-000219,CUS-0019,,,Annuity Payout,933832,2025-04-13,Direct Debit,Completed,REF-38378112
TXN-000220,CUS-0159,,,Annuity Payout,1578747,2025-09-14,Direct Debit,Completed,REF-32356445
TXN-000221,CUS-0045,,,Policy Loan,627723,2024-10-03,Credit Card,Pending,REF-35592259
TXN-000222,CUS-0047,POL-00042,,Claim Settlement,518124,2026-04-27,Furikomi,Failed,REF-23353091
TXN-000223,CUS-0048,,INV-00004,Investment Purchase,2236712,2024-08-19,Credit Card,Completed,REF-78653932
TXN-000224,CUS-0024,POL-00155,,Claim Settlement,903521,2025-08-21,Convenience Store (Konbini),Completed,REF-26010065
TXN-000225,CUS-0013,POL-00393,,Claim Settlement,2303634,2024-01-06,Convenience Store (Konbini),Completed,REF-86477380
TXN-000226,CUS-0087,POL-00226,,Claim Settlement,1405628,2025-08-03,Bank Transfer,Completed,REF-46297946
TXN-000227,CUS-0060,,INV-00184,Investment Purchase,4868537,2024-09-19,Credit Card,Completed,REF-98255708
TXN-000228,CUS-0023,POL-00182,,Premium Payment,68970,2024-12-10,Convenience Store (Konbini),Completed,REF-65159487
TXN-000229,CUS-0105,,INV-00027,Investment Purchase,3412470,2024-08-10,Bank Transfer,Completed,REF-99848699
TXN-000230,CUS-0110,POL-00220,,Premium Payment,1509,2024-07-03,Bank Transfer,Completed,REF-99071423
TXN-000231,CUS-0188,,INV-00093,Investment Redemption,4105046,2025-07-27,Direct Debit,Completed,REF-81260120
TXN-000232,CUS-0017,POL-00260,,Claim Settlement,2145397,2024-03-31,Credit Card,Completed,REF-28979460
TXN-000233,CUS-0048,POL-00377,,Claim Settlement,2705481,2026-03-14,Credit Card,Completed,REF-86755463
TXN-000234,CUS-0119,POL-00018,,Premium Payment,13671,2024-09-02,Direct Debit,Completed,REF-20278423
TXN-000235,CUS-0089,POL-00379,,Premium Payment,13978,2024-08-14,Direct Debit,Completed,REF-88040592
TXN-000236,CUS-0027,,INV-00056,Investment Redemption,4434909,2025-03-28,Furikomi,Completed,REF-81761261
TXN-000237,CUS-0165,,,Policy Loan,1960153,2024-03-27,Bank Transfer,Completed,REF-79803027
TXN-000238,CUS-0038,POL-00005,,Premium Payment,2952,2024-07-10,Bank Transfer,Completed,REF-82343421
TXN-000239,CUS-0145,,,Annuity Payout,626551,2025-01-24,Convenience Store (Konbini),Completed,REF-39116262
TXN-000240,CUS-0037,POL-00289,,Claim Settlement,4518517,2024-03-01,Bank Transfer,Pending,REF-55945516
TXN-000241,CUS-0120,,INV-00002,Investment Redemption,3234874,2026-03-13,Credit Card,Completed,REF-57366059
TXN-000242,CUS-0079,POL-00310,,Claim Settlement,749697,2025-01-31,Furikomi,Completed,REF-80725089
TXN-000243,CUS-0012,,INV-00053,Investment Redemption,1583047,2025-05-06,Direct Debit,Completed,REF-66847247
TXN-000244,CUS-0167,,INV-00110,Investment Purchase,114847,2025-08-26,Credit Card,Completed,REF-44258388
TXN-000245,CUS-0018,,,Annuity Payout,1783751,2024-03-24,Credit Card,Completed,REF-85133513
TXN-000246,CUS-0197,POL-00083,,Premium Payment,26264,2024-07-29,Direct Debit,Completed,REF-79188245
TXN-000247,CUS-0088,,,Loan Repayment,1915669,2025-07-23,Furikomi,Completed,REF-38721649
