transaction_id,customer_id,policy_id,investment_id,transaction_type,amount,transaction_date,payment_method,status,reference_number
TXN-000021,CUS-0061,POL-00110,,Claim Payout,27248.27,2020-11-11,Credit Card,Reversed,REF-53172816
TXN-000022,CUS-0180,,,Fee,130.98,2026-01-13,EFT,Completed,REF-78109300
TXN-000023,CUS-0138,,INV-00161,Investment Redemption,5687.98,2022-07-22,Credit Card,Completed,REF-72449688
TXN-000024,CUS-0014,POL-00023,,Premium Payment,362.2,2024-11-28,Wire,Completed,REF-18678217
TXN-000025,CUS-0044,,INV-00012,Dividend,2821.8,2026-04-08,Cheque,Completed,REF-73971718
TXN-000026,CUS-0038,,,Fee,41.25,2023-12-22,Cheque,Completed,REF-86471037
TXN-000027,CUS-0187,POL-00364,,Premium Payment,2847.6,2025-07-03,Credit Card,Completed,REF-63183240
TXN-000028,CUS-0116,POL-00219,,Premium Payment,2537.16,2026-01-14,Cheque,Completed,REF-54363421
TXN-000029,CUS-0131,POL-00251,,Premium Payment,56.57,2021-08-13,Cheque,Completed,REF-10909370
TXN-000030,CUS-0014,,INV-00184,Dividend,2957.87,2020-10-17,Wire,Completed,REF-31636866
TXN-000031,CUS-0064,,INV-00092,Investment Redemption,41869.1,2020-04-30,Wire,Completed,REF-26039031
TXN-000032,CUS-0025,POL-00045,,Premium Payment,91.2,2024-05-05,Wire,Pending,REF-73673905
TXN-000033,CUS-0088,POL-00162,,Premium Payment,4507.08,2021-01-27,Credit Card,Completed,REF-67762060
TXN-000034,CUS-0128,,,Fee,54.46,2022-12-03,Credit Card,Completed,REF-57137357
TXN-000035,CUS-0163,,INV-00042,Dividend,1731.61,2021-01-20,EFT,Completed,REF-91357341
TXN-000036,CUS-0143,POL-00276,,Premium Payment,4569.6,2024-03-08,EFT,Completed,REF-81017414
TXN-000037,CUS-0084,POL-00156,,Premium Payment,1528.8,2023-06-08,Cheque,Completed,REF-19313264
TXN-000038,CUS-0049,,INV-00256,Dividend,949.84,2022-06-13,EFT,Reversed,REF-30759612
TXN-000039,CUS-0147,,INV-00091,Investment Purchase,89252.24,2021-12-28,Wire,Completed,REF-14072389
TXN-000040,CUS-0138,,INV-00062,Investment Purchase,80913.28,2023-06-30,EFT,Failed,REF-56849237
TXN-000041,CUS-0152,,INV-00266,Investment Purchase,17571.15,2021-02-12,Credit Card,Completed,REF-92301184
TXN-000042,CUS-0117,,INV-00281,Dividend,4167.26,2025-01-08,EFT,Failed,REF-55411755
TXN-000043,CUS-0037,POL-00068,,Premium Payment,3246.96,2025-07-03,Wire,Completed,REF-15582167
TXN-000044,CUS-0123,POL-00235,,Claim Payout,6933.64,2021-02-08,EFT,Pending,REF-99055153
TXN-000045,CUS-0135,,INV-00289,Investment Purchase,57933.59,2025-12-18,Credit Card,Completed,REF-47924770
TXN-000046,CUS-0115,POL-00217,,Premium Payment,97.92,2023-04-14,Wire,Failed,REF-64255917
TXN-000047,CUS-0022,POL-00041,,Claim Payout,1679.79,2021-03-03,Wire,Completed,REF-91827614
TXN-000048,CUS-0128,POL-00245,,Claim Payout,265814.21,2020-08-13,EFT,Completed,REF-35243522
TXN-000049,CUS-0079,,INV-00293,Dividend,2736.8,2023-07-08,EFT,Completed,REF-16336089
TXN-000050,CUS-0099,,INV-00097,Dividend,1791.24,2026-01-11,Wire,Completed,REF-78232914
TXN-000051,CUS-0046,,INV-00261,Investment Purchase,37711.57,2020-07-02,EFT,Failed,REF-71368875
TXN-000052,CUS-0057,,INV-00164,Dividend,411.17,2022-04-13,EFT,Completed,REF-16071188
TXN-000053,CUS-0053,,INV-00060,Dividend,4625.35,2020-01-20,Cheque,Failed,REF-33764288
TXN-000054,CUS-0059,,INV-00191,Dividend,4592.04,2024-07-04,Credit Card,Completed,REF-90363084
TXN-000055,CUS-0172,POL-00334,,Premium Payment,166.65,2024-09-27,Cheque,Completed,REF-37498028
TXN-000056,CUS-0168,,INV-00140,Dividend,2075.56,2020-02-11,Wire,Completed,REF-60617768
TXN-000057,CUS-0049,POL-00087,,Premium Payment,2215.32,2022-11-04,Wire,Completed,REF-15610213
TXN-000058,CUS-0115,,INV-00066,Investment Purchase,66633.34,2022-07-02,EFT,Completed,REF-25472405
TXN-000059,CUS-0126,POL-00240,,Premium Payment,568.92,2022-01-21,Credit Card,Completed,REF-44426734
TXN-000060,CUS-0184,,INV-00204,Dividend,1459.79,2023-03-19,Cheque,Completed,REF-24561556
TXN-000061,CUS-0102,,INV-00104,Investment Redemption,47535.35,2026-03-22,Credit Card,Pending,REF-27061090
TXN-000062,CUS-0010,,INV-00241,Investment Purchase,48403.16,2021-04-01,Wire,Completed,REF-34760262
TXN-000063,CUS-0178,POL-00344,,Premium Payment,1060.53,2022-09-17,Cheque,Completed,REF-68801935
TXN-000064,CUS-0114,,INV-00022,Investment Redemption,33312.4,2025-08-24,Credit Card,Completed,REF-38243618
TXN-000065,CUS-0012,,INV-00292,Investment Redemption,1203.45,2021-09-17,Cheque,Completed,REF-33559104
TXN-000066,CUS-0052,POL-00093,,Claim Payout,22087.12,2024-05-21,Cheque,Completed,REF-77859758
TXN-000067,CUS-0048,POL-00086,,Premium Payment,1116.63,2023-10-07,Wire,Completed,REF-13397006
TXN-000068,CUS-0018,,,Fee,423.28,2025-12-04,Credit Card,Completed,REF-29241916
TXN-000069,CUS-0082,,INV-00030,Investment Purchase,12025.21,2020-09-23,EFT,Completed,REF-93025237
TXN-000070,CUS-0186,,INV-00165,Investment Redemption,18833.42,2021-08-10,Credit Card,Failed,REF-10792100
TXN-000071,CUS-0145,POL-00281,,Claim Payout,37277.39,2024-05-06,EFT,Completed,REF-40134305
TXN-000072,CUS-0010,,INV-00289,Investment Redemption,27506.34,2020-03-22,Wire,Completed,REF-86704340
TXN-000073,CUS-0073,,INV-00199,Investment Purchase,45517.45,2022-08-31,Cheque,Completed,REF-56324745
TXN-000074,CUS-0163,,INV-00233,Dividend,2421.69,2021-09-19,Cheque,Completed,REF-40043274
TXN-000075,CUS-0164,POL-00319,,Premium Payment,348.21,2024-05-10,Credit Card,Reversed,REF-59402605
TXN-000076,CUS-0111,,INV-00154,Investment Redemption,7627.2,2025-02-26,Credit Card,Completed,REF-63986524
TXN-000077,CUS-0161,POL-00314,,Premium Payment,1720.08,2022-05-02,Wire,Failed,REF-66066184
TXN-000078,CUS-0116,POL-00219,,Claim Payout,47642.52,2025-03-13,Cheque,Completed,REF-99304909
TXN-000079,CUS-0186,POL-00362,,Claim Payout,12677.35,2022-02-21,Cheque,Completed,REF-72193264
TXN-000080,CUS-0196,,INV-00210,Investment Purchase,38106.85,2023-06-11,Credit Card,Completed,REF-73113531
TXN-000081,CUS-0167,POL-00326,,Premium Payment,481.03,2023-05-15,Wire,Failed,REF-16829764
TXN-000082,CUS-0087,POL-00160,,Premium Payment,1127.73,2024-04-23,Wire,Failed,REF-34201500
TXN-000083,CUS-0007,,INV-00106,Dividend,1960.55,2021-12-06,Credit Card,Completed,REF-96065526
TXN-000084,CUS-0051,POL-00091,,Claim Payout,9187.37,2024-08-11,Credit Card,Completed,REF-27522806
TXN-000085,CUS-0125,,INV-00162,Investment Redemption,30712.72,2025-12-13,EFT,Completed,REF-23027791
TXN-000086,CUS-0022,,INV-00011,Investment Redemption,929.1,2020-08-04,EFT,Completed,REF-52049592
TXN-000087,CUS-0092,,INV-00104,Dividend,3730.74,2022-05-22,EFT,Completed,REF-58712990
TXN-000088,CUS-0081,,INV-00299,Investment Purchase,90547.0,2025-01-03,Credit Card,Completed,REF-48888385
TXN-000089,CUS-0144,POL-00278,,Premium Payment,5105.28,2021-09-14,EFT,Completed,REF-81444791
TXN-000090,CUS-0105,,INV-00082,Dividend,2830.24,2025-04-07,Cheque,Completed,REF-43472531
TXN-000091,CUS-0170,,INV-00076,Dividend,4550.46,2021-02-01,Credit Card,Completed,REF-61130128
TXN-000092,CUS-0123,POL-00232,,Claim Payout,104890.82,2020-03-22,Cheque,Completed,REF-69181497
TXN-000093,CUS-0047,,INV-00230,Investment Purchase,89504.82,2025-07-07,Cheque,Failed,REF-55604049
TXN-000094,CUS-0095,,INV-00036,Dividend,927.32,2023-05-14,Credit Card,Completed,REF-24894384
TXN-000095,CUS-0172,,INV-00101,Dividend,4809.8,2023-08-06,EFT,Completed,REF-57608618
TXN-000096,CUS-0127,,INV-00009,Investment Purchase,62564.36,2024-09-07,Cheque,Reversed,REF-43918937
TXN-000097,CUS-0072,POL-00132,,Premium Payment,707.4,2025-06-28,Credit Card,Completed,REF-16980807
TXN-000098,CUS-0180,,INV-00157,Investment Purchase,27048.23,2024-11-08,Cheque,Completed,REF-98139894
TXN-000099,CUS-0021,POL-00039,,Claim Payout,13456.86,2026-03-08,EFT,Completed,REF-86994349
TXN-000100,CUS-0098,POL-00183,,Premium Payment,165.51,2025-04-09,EFT,Completed,REF-46276862
TXN-000101,CUS-0086,,INV-00188,Investment Purchase,80511.46,2024-10-04,Cheque,Completed,REF-27762391
TXN-000102,CUS-0185,,INV-00134,Dividend,2784.29,2025-06-25,EFT,Completed,REF-70381095
TXN-000103,CUS-0022,,INV-00164,Dividend,4314.32,2021-04-09,Credit Card,Completed,REF-24367955
TXN-000104,CUS-0046,POL-00084,,Premium Payment,70.45,2020-09-23,Credit Card,Completed,REF-21728894
TXN-000105,CUS-0003,,,Fee,364.32,2023-10-29,EFT,Pending,REF-30970686
TXN-000106,CUS-0118,,INV-00170,Investment Purchase,78827.03,2021-03-09,EFT,Completed,REF-28618004
TXN-000107,CUS-0191,POL-00369,,Premium Payment,169.03,2022-01-30,EFT,Completed,REF-10515548
TXN-000108,CUS-0176,POL-00342,,Claim Payout,10905.84,2020-11-21,Credit Card,Completed,REF-73893558
TXN-000109,CUS-0182,,,Fee,494.09,2022-02-01,EFT,Completed,REF-69393536
TXN-000110,CUS-0002,POL-00002,,Premium Payment,1193.76,2021-12-21,Cheque,Reversed,REF-29312960
TXN-000111,CUS-0148,,,Fee,486.63,2021-05-22,EFT,Completed,REF-35259577
TXN-000112,CUS-0083,POL-00152,,Premium Payment,3935.88,2021-10-27,Cheque,Completed,REF-90739206
TXN-000113,CUS-0164,POL-00320,,Claim Payout,159165.94,2022-06-12,Cheque,Completed,REF-42315695
TXN-000114,CUS-0168,,INV-00129,Investment Purchase,28863.46,2021-10-22,EFT,Completed,REF-76293229
TXN-000115,CUS-0188,POL-00365,,Premium Payment,96.17,2024-10-27,Wire,Completed,REF-11610470
TXN-000116,CUS-0173,,INV-00046,Dividend,1626.07,2024-01-20,EFT,Completed,REF-86396882
TXN-000117,CUS-0082,POL-00151,,Premium Payment,21.7,2024-01-06,Wire,Completed,REF-59720070
TXN-000118,CUS-0196,POL-00382,,Claim Payout,6243.7,2023-07-07,Credit Card,Completed,REF-40616624
TXN-000119,CUS-0011,,INV-00181,Investment Purchase,41563.51,2025-03-05,Wire,Completed,REF-72226540
TXN-000120,CUS-0119,,,Fee,231.57,2021-08-04,Wire,Completed,REF-66317377
TXN-000121,CUS-0036,,INV-00163,Dividend,1938.21,2021-09-03,EFT,Completed,REF-68301666
TXN-000122,CUS-0170,,INV-00089,Investment Redemption,7976.41,2022-01-23,EFT,Completed,REF-62518275
TXN-000123,CUS-0070,POL-00128,,Claim Payout,10288.95,2025-07-30,Cheque,Completed,REF-83729641
TXN-000124,CUS-0049,POL-00087,,Premium Payment,2215.32,2025-08-06,Credit Card,Completed,REF-75409954
TXN-000125,CUS-0016,,INV-00181,Dividend,4809.13,2020-10-01,Wire,Reversed,REF-91579904
TXN-000126,CUS-0061,POL-00110,,Premium Payment,565.06,2022-06-05,EFT,Completed,REF-51340090
TXN-000127,CUS-0087,,INV-00160,Investment Purchase,68721.7,2024-10-23,Credit Card,Completed,REF-81086637
TXN-000128,CUS-0186,POL-00363,,Premium Payment,9004.44,2021-06-08,Wire,Completed,REF-18472493
TXN-000129,CUS-0095,POL-00177,,Premium Payment,891.03,2022-10-05,Cheque,Completed,REF-41331564
TXN-000130,CUS-0081,,INV-00244,Dividend,3944.69,2026-03-23,Cheque,Completed,REF-36088942
TXN-000131,CUS-0083,,INV-00294,Dividend,4857.12,2022-07-26,Credit Card,Completed,REF-43433510
TXN-000132,CUS-0121,POL-00228,,Claim Payout,22686.33,2023-07-07,EFT,Completed,REF-61558846
TXN-000133,CUS-0160,,INV-00165,Investment Redemption,4524.73,2025-07-03,Cheque,Completed,REF-18982581
TXN-000134,CUS-0200,POL-00391,,Claim Payout,6384.34,2023-02-05,Cheque,Completed,REF-17921698
TXN-000135,CUS-0058,POL-00106,,Claim Payout,109338.72,2023-09-02,Wire,Completed,REF-85413975
TXN-000136,CUS-0070,POL-00128,,Premium Payment,1779.12,2025-06-08,Credit Card,Reversed,REF-96683389
TXN-000137,CUS-0153,POL-00298,,Premium Payment,116.4,2021-05-08,EFT,Completed,REF-36164817
TXN-000138,CUS-0130,,INV-00145,Investment Purchase,25574.42,2024-03-20,EFT,Completed,REF-50020641
TXN-000139,CUS-0037,POL-00068,,Premium Payment,3246.96,2020-04-13,Wire,Completed,REF-20564233
TXN-000140,CUS-0199,POL-00389,,Claim Payout,7494.93,2025-01-03,Credit Card,Completed,REF-89704535
TXN-000141,CUS-0081,POL-00149,,Claim Payout,2486.06,2023-01-25,Credit Card,Completed,REF-91408752
TXN-000142,CUS-0042,POL-00075,,Claim Payout,16478.78,2020-03-10,Cheque,Completed,REF-84165377
TXN-000143,CUS-0037,POL-00068,,Claim Payout,9434.87,2024-03-16,Wire,Completed,REF-96748718
TXN-000144,CUS-0046,POL-00084,,Premium Payment,70.45,2020-05-21,Cheque,Completed,REF-85915813
TXN-000145,CUS-0011,,INV-00262,Investment Redemption,3265.03,2021-06-24,EFT,Completed,REF-28778595
TXN-000146,CUS-0134,POL-00256,,Premium Payment,294.78,2022-08-20,Cheque,Completed,REF-57926605
TXN-000147,CUS-0106,POL-00198,,Premium Payment,62.8,2020-10-11,EFT,Completed,REF-80421269
TXN-000148,CUS-0102,POL-00192,,Claim Payout,221282.59,2026-02-23,Credit Card,Pending,REF-70196402
TXN-000149,CUS-0196,POL-00382,,Premium Payment,43.34,2022-07-20,EFT,Completed,REF-17044162
TXN-000150,CUS-0179,,INV-00116,Investment Purchase,48390.63,2020-06-21,Credit Card,Completed,REF-30485751
TXN-000151,CUS-0036,,INV-00257,Dividend,1631.32,2024-05-06,Wire,Completed,REF-12584460
TXN-000152,CUS-0075,,INV-00253,Investment Purchase,3327.8,2024-08-26,EFT,Completed,REF-36860242
TXN-000153,CUS-0054,,INV-00118,Investment Purchase,58691.18,2020-01-30,EFT,Completed,REF-88058777
TXN-000154,CUS-0131,,,Fee,450.3,2021-11-03,Credit Card,Completed,REF-81971570
TXN-000155,CUS-0161,POL-00314,,Premium Payment,1720.08,2022-12-24,Wire,Completed,REF-31456491
TXN-000156,CUS-0194,,,Fee,307.73,2023-10-02,Cheque,Completed,REF-62698234
TXN-000157,CUS-0074,POL-00137,,Premium Payment,271.8,2020-04-28,Wire,Completed,REF-37459613
TXN-000158,CUS-0011,POL-00017,,Premium Payment,1371.24,2021-03-13,Credit Card,Completed,REF-36862689
TXN-000159,CUS-0189,,INV-00153,Investment Redemption,41730.02,2022-05-27,Cheque,Pending,REF-58444321
TXN-000160,CUS-0166,POL-00324,,Claim Payout,28558.91,2022-10-30,EFT,Completed,REF-51594284
TXN-000161,CUS-0047,POL-00085,,Premium Payment,285.66,2022-04-25,Wire,Completed,REF-53937353
TXN-000162,CUS-0101,POL-00189,,Claim Payout,43402.78,2021-11-07,Wire,Failed,REF-85273310
TXN-000163,CUS-0171,,INV-00128,Investment Purchase,8689.74,2021-03-15,EFT,Pending,REF-93117917
TXN-000164,CUS-0003,POL-00005,,Premium Payment,2786.4,2020-01-01,Wire,Completed,REF-86250555
TXN-000165,CUS-0025,,INV-00028,Dividend,1871.85,2022-02-20,Cheque,Reversed,REF-20213902
TXN-000166,CUS-0168,POL-00327,,Premium Payment,5769.6,2023-05-03,EFT,Completed,REF-50540480
TXN-000167,CUS-0117,POL-00220,,Premium Payment,1441.29,2021-05-07,EFT,Failed,REF-73955393
TXN-000168,CUS-0029,POL-00052,,Premium Payment,559.02,2022-08-19,Cheque,Completed,REF-46247757
TXN-000169,CUS-0145,POL-00281,,Premium Payment,230.16,2020-09-16,Credit Card,Completed,REF-38920642
TXN-000170,CUS-0174,POL-00339,,Premium Payment,164.49,2020-05-02,Wire,Completed,REF-72505408
TXN-000171,CUS-0004,POL-00006,,Claim Payout,33002.2,2023-02-24,Wire,Completed,REF-37205749
TXN-000172,CUS-0007,,,Fee,338.91,2022-02-09,Wire,Completed,REF-10261534
TXN-000173,CUS-0012,,INV-00289,Dividend,4185.19,2024-11-18,Wire,Completed,REF-41074206
TXN-000174,CUS-0191,,INV-00025,Investment Redemption,14682.6,2020-12-28,Wire,Completed,REF-73414545
TXN-000175,CUS-0096,,INV-00191,Investment Purchase,72893.66,2026-01-23,Cheque,Completed,REF-64626836
TXN-000176,CUS-0103,POL-00193,,Premium Payment,1584.72,2025-03-29,Cheque,Reversed,REF-29814990
TXN-000177,CUS-0193,,,Fee,445.82,2026-01-30,Wire,Completed,REF-21602526
TXN-000178,CUS-0036,,INV-00171,Investment Purchase,92547.19,2025-03-26,Credit Card,Completed,REF-15738577
TXN-000179,CUS-0161,POL-00313,,Premium Payment,643.31,2023-10-31,Credit Card,Completed,REF-86999716
TXN-000180,CUS-0053,POL-00097,,Premium Payment,923.7,2020-11-30,EFT,Pending,REF-77294573
TXN-000181,CUS-0134,,INV-00054,Investment Purchase,57970.99,2022-11-09,Credit Card,Failed,REF-40438208
TXN-000182,CUS-0086,,INV-00251,Investment Purchase,12575.21,2024-03-09,Wire,Completed,REF-80212115
TXN-000183,CUS-0101,,INV-00113,Investment Purchase,58124.92,2024-07-29,EFT,Completed,REF-40308351
TXN-000184,CUS-0117,,INV-00080,Investment Purchase,83600.58,2022-02-10,EFT,Completed,REF-76465010
TXN-000185,CUS-0019,POL-00035,,Premium Payment,2000.31,2022-09-17,Cheque,Completed,REF-38084257
TXN-000186,CUS-0025,,INV-00098,Investment Purchase,3327.06,2020-05-07,Credit Card,Completed,REF-34926126
TXN-000187,CUS-0175,,,Fee,44.95,2022-11-04,EFT,Completed,REF-66628811
TXN-000188,CUS-0170,,INV-00207,Dividend,102.31,2023-05-14,Cheque,Completed,REF-37977471
TXN-000189,CUS-0159,POL-00309,,Premium Payment,439.89,2020-06-20,EFT,Completed,REF-77108172
TXN-000190,CUS-0008,POL-00011,,Premium Payment,898.38,2025-04-23,Wire,Pending,REF-82345677
TXN-000191,CUS-0109,,INV-00180,Investment Redemption,47481.55,2025-07-01,Wire,Reversed,REF-15190410
TXN-000192,CUS-0195,,INV-00045,Dividend,2400.62,2026-02-05,Credit Card,Completed,REF-94731492
TXN-000193,CUS-0117,,INV-00195,Dividend,3757.81,2022-09-15,Wire,Completed,REF-14609325
TXN-000194,CUS-0142,POL-00275,,Premium Payment,105.8,2022-06-06,EFT,Completed,REF-11381630
TXN-000195,CUS-0152,,INV-00015,Investment Purchase,93618.28,2024-12-25,Credit Card,Completed,REF-72166964
TXN-000196,CUS-0145,POL-00281,,Premium Payment,230.16,2026-01-03,EFT,Completed,REF-43984506
TXN-000197,CUS-0179,,INV-00265,Investment Purchase,49618.8,2025-01-24,Credit Card,Completed,REF-15344079
TXN-000198,CUS-0085,POL-00157,,Premium Payment,1451.79,2021-03-25,EFT,Completed,REF-36725847
TXN-000199,CUS-0064,POL-00114,,Claim Payout,19671.53,2021-12-24,EFT,Completed,REF-50570882
TXN-000200,CUS-0088,POL-00163,,Premium Payment,1372.68,2022-07-25,EFT,Completed,REF-23628162
TXN-000201,CUS-0034,POL-00064,,Premium Payment,841.92,2024-11-29,Wire,Completed,REF-12756510
TXN-000202,CUS-0178,,INV-00189,Investment Redemption,31924.18,2021-03-11,EFT,Completed,REF-47433620
TXN-000203,CUS-0180,POL-00348,,Claim Payout,55495.95,2020-10-01,Cheque,Completed,REF-99214834
TXN-000204,CUS-0103,POL-00193,,Claim Payout,45377.5,2021-07-17,Credit Card,Completed,REF-21593395
TXN-000205,CUS-0171,,INV-00101,Investment Purchase,45164.11,2026-02-14,Cheque,Completed,REF-74139933
TXN-000206,CUS-0169,POL-00329,,Premium Payment,3235.68,2024-08-19,EFT,Completed,REF-41171838
TXN-000207,CUS-0077,POL-00142,,Premium Payment,651.96,2024-05-19,EFT,Completed,REF-78477351
TXN-000208,CUS-0029,,INV-00269,Investment Redemption,33462.6,2025-12-13,Credit Card,Completed,REF-52886482
TXN-000209,CUS-0123,,INV-00110,Dividend,983.9,2025-04-28,Credit Card,Completed,REF-23293865
TXN-000210,CUS-0142,POL-00272,,Premium Payment,3059.16,2021-08-21,Credit Card,Completed,REF-19126002
TXN-000211,CUS-0019,POL-00034,,Claim Payout,137548.07,2022-10-08,Wire,Completed,REF-93969764
TXN-000212,CUS-0058,POL-00106,,Claim Payout,109338.72,2024-07-22,Wire,Completed,REF-15759135
TXN-000213,CUS-0200,,,Fee,203.37,2022-02-27,Cheque,Completed,REF-62449097
TXN-000214,CUS-0058,POL-00106,,Claim Payout,109338.72,2025-05-17,Wire,Completed,REF-96710149
TXN-000215,CUS-0163,,,Fee,87.07,2025-11-05,EFT,Completed,REF-68081584
TXN-000216,CUS-0107,,INV-00034,Investment Purchase,56606.98,2021-08-19,EFT,Completed,REF-59596286
TXN-000217,CUS-0072,POL-00135,,Premium Payment,115.8,2023-10-30,Cheque,Completed,REF-51358100
TXN-000218,CUS-0121,,,Fee,260.61,2024-04-30,Credit Card,Completed,REF-72992151
TXN-000219,CUS-0178,POL-00345,,Premium Payment,5893.2,2023-11-03,EFT,Completed,REF-43768232
TXN-000220,CUS-0070,,INV-00148,Investment Purchase,59848.95,2022-07-22,Cheque,Completed,REF-42133709
TXN-000221,CUS-0090,,INV-00157,Investment Purchase,19992.81,2023-10-04,Wire,Completed,REF-47382608
TXN-000222,CUS-0109,POL-00202,,Premium Payment,21.47,2021-07-24,Cheque,Pending,REF-35496811
TXN-000223,CUS-0093,,INV-00278,Investment Purchase,55737.42,2022-04-17,Credit Card,Completed,REF-25731762
TXN-000224,CUS-0075,,INV-00127,Investment Redemption,10683.82,2023-10-13,Wire,Completed,REF-60331463
TXN-000225,CUS-0124,POL-00237,,Premium Payment,1321.74,2025-02-23,Credit Card,Completed,REF-44188706
TXN-000226,CUS-0065,,INV-00064,Investment Purchase,96684.86,2026-03-05,EFT,Reversed,REF-18931707
TXN-000227,CUS-0066,POL-00119,,Premium Payment,5978.64,2025-02-05,Cheque,Failed,REF-78601151
TXN-000228,CUS-0051,,INV-00137,Investment Purchase,6048.31,2024-10-17,Wire,Completed,REF-89896025
TXN-000229,CUS-0112,POL-00212,,Premium Payment,22.92,2023-07-06,Credit Card,Completed,REF-26497586
TXN-000230,CUS-0014,POL-00023,,Claim Payout,2810.61,2020-10-14,Cheque,Completed,REF-27102306
TXN-000231,CUS-0191,,INV-00217,Investment Redemption,10642.19,2020-09-02,Cheque,Completed,REF-93800183
TXN-000232,CUS-0073,,INV-00221,Investment Redemption,12413.67,2022-06-21,Cheque,Completed,REF-84170836
TXN-000233,CUS-0061,POL-00110,,Claim Payout,1636.23,2023-07-21,Credit Card,Completed,REF-61441896
TXN-000234,CUS-0158,POL-00308,,Premium Payment,7829.76,2021-10-18,Cheque,Completed,REF-75264320
TXN-000235,CUS-0064,POL-00114,,Premium Payment,1427.88,2022-06-24,Credit Card,Completed,REF-33292561
TXN-000236,CUS-0072,,INV-00055,Dividend,65.68,2023-06-17,Wire,Completed,REF-69883280
TXN-000237,CUS-0026,POL-00047,,Premium Payment,26.05,2024-07-31,Wire,Completed,REF-30184404
TXN-000238,CUS-0099,,INV-00195,Investment Redemption,1639.82,2023-01-17,Wire,Completed,REF-68606209
TXN-000239,CUS-0135,,INV-00176,Investment Redemption,16442.96,2025-08-06,Wire,Completed,REF-69349666
TXN-000240,CUS-0096,,INV-00074,Investment Purchase,70642.18,2024-03-26,Wire,Completed,REF-37800640
TXN-000241,CUS-0091,POL-00171,,Premium Payment,1053.48,2023-01-27,Cheque,Completed,REF-40990266
TXN-000242,CUS-0121,POL-00228,,Claim Payout,22686.33,2022-09-26,EFT,Completed,REF-70699404
TXN-000243,CUS-0006,,INV-00200,Investment Redemption,28797.0,2024-01-12,Wire,Completed,REF-68558100
TXN-000244,CUS-0109,,INV-00046,Investment Redemption,22149.44,2023-11-27,Cheque,Completed,REF-44877696
TXN-000245,CUS-0044,POL-00079,,Claim Payout,361807.82,2025-10-19,Credit Card,Completed,REF-14871204
TXN-000246,CUS-0094,,INV-00025,Dividend,3815.52,2021-01-03,Credit Card,Completed,REF-22398601
TXN-000247,CUS-0142,,INV-00026,Investment Purchase,25788.72,2025-11-21,Wire,Failed,REF-30002379
TXN-000248,CUS-0112,POL-00212,,Premium Payment,22.92,2022-01-31,Cheque,Completed,REF-32364538
TXN-000249,CUS-0060,,INV-00048,Investment Purchase,62473.52,2021-12-21,Wire,Completed,REF-66809533
TXN-000250,CUS-0061,,,Fee,18.42,2022-03-11,EFT,Completed,REF-19043872
TXN-000251,CUS-0069,,INV-00092,Investment Redemption,26930.69,2025-03-09,Cheque,Completed,REF-34014770
TXN-000252,CUS-0048,POL-00086,,Premium Payment,1116.63,2020-02-05,Credit Card,Completed,REF-46552513
TXN-000253,CUS-0006,,INV-00257,Investment Purchase,50946.46,2020-08-20,Credit Card,Completed,REF-16488684
